ID	Structure	Status	Total	059-CKT-1-Thionine-12-07-15-08-04.png	071-CKT-1-Thionine-12-07-15-08-05.png	083-CKT-1-Thionine-12-07-15-08-06.png	095-CKT-1-Thionine-12-07-15-08-07.png	107-CKT-1-Thionine-12-07-15-08-08.png	119-CKT-1-Thionine-12-07-15-08-09.png	131-CKT-1-Thionine-12-07-15-08-10.png	143-CKT-1-Thionine-12-07-15-08-11.png	155-CKT-1-Thionine-12-07-15-08-12.png	167-CKT-1-Thionine-12-07-15-08-13.png	179-CKT-1-Thionine-12-07-15-08-14.png	191-CKT-1-Thionine-12-07-15-08-15.png	203-CKT-1-Thionine-12-07-15-08-16.png	215-CKT-1-Thionine-12-07-15-08-17.png	227-CKT-1-Thionine-12-07-15-08-18.png
	Total	N/A	1183	45	58	58	100	90	101	88	108	92	85	87	65	71	75	60
	Total	Accurate	2223	119	139	148	155	137	147	174	169	169	161	175	171	160	141	58
	Total	Inaccurate	16	0	0	2	0	3	4	1	0	3	0	1	0	1	1	0
	Total	Uncertain	317	12	11	13	15	22	33	22	23	21	24	22	19	23	35	22
	Total	Damaged	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	N/A	711	27	31	30	46	45	54	45	72	47	50	67	53	53	61	30
0	Clear Label	Accurate	8	0	0	2	0	0	0	2	1	1	0	0	1	0	0	1
0	Clear Label	Inaccurate	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	Uncertain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	Damaged	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
997	root	N/A	0															
997	root	Accurate	0															
997	root	Inaccurate	0															
997	root	Uncertain	0															
997	root	Damaged	0															
8	Basic cell groups and regions	N/A	0															
8	Basic cell groups and regions	Accurate	0															
8	Basic cell groups and regions	Inaccurate	0															
8	Basic cell groups and regions	Uncertain	0															
8	Basic cell groups and regions	Damaged	0															
567	Cerebrum	N/A	0															
567	Cerebrum	Accurate	0															
