ID	Structure	Status	Total	020-CKT-1-NeuN-1-18-16_16-01.png	026-CKT-1-AB1-42-1-18-16_16-01.png	032-CKT-1-NeuN-1-18-16_16-02.png	035-CKT-1-Thionine-1-18-16-16-02.png	044-CKT-1-NeuN-1-18-16_16-03.png	047-CKT-1-Thionine-1-18-16-16-03.png	050-CKT-1-AB1-42-1-18-16_16-02.png	052-CKT-1-Iba1-1-18-16-16-02.png	053-CKT-1-GFAP-1-18-16-16-02.png	056-CKT-1-NeuN-1-18-16_16-04.png	059-CKT-1-Thionine-1-18-16-16-04.png	068-CKT-1-NeuN-1-18-16_16-05.png	071-CKT-1-Thionine-1-18-16-16-05.png	074-CKT-1-AB1-42-1-18-16_16-03.png	076-CKT-1-Iba1-1-18-16-16-03.png	077-CKT-1-GFAP-1-18-16-16-03.png	080-CKT-1-NeuN-1-18-16_16-06.png	083-CKT-1-Thionine-1-18-16-16-06.png	092-CKT-1-NeuN-1-18-16_16-07.png	095-CKT-1-Thionine-1-18-16-16-07.png	098-CKT-1-AB1-42-1-18-16_16-04.png	100-CKT-1-Iba1-1-18-16-16-04.png	101-CKT-1-GFAP-1-18-16-16-04.png	104-CKT-1-NeuN-1-18-16_16-08.png	107-CKT-1-Thionine-1-18-16-16-08.png	116-CKT-1-NeuN-1-18-16_16-09.png	119-CKT-1-Thionine-1-18-16-16-09.png	122-CKT-1-AB1-42-1-18-16_16-05.png	124-CKT-1-Iba1-1-18-16-16-05.png	125-CKT-1-GFAP-1-18-16-16-05.png	128-CKT-1-NeuN-1-18-16_16-10.png	131-CKT-1-Thionine-1-18-16-16-10.png	140-CKT-1-NeuN-1-18-16_16-11.png	143-CKT-1-Thionine-1-18-16-16-11.png	146-CKT-1-AB1-42-1-18-16_16-06.png	148-CKT-1-Iba1-1-18-16-16-06.png	149-CKT-1-GFAP-1-18-16-16-06.png	152-CKT-1-NeuN-1-18-16_16-12.png	155-CKT-1-Thionine-1-18-16-16-12.png	164-CKT-1-NeuN-1-18-16_16-13.png	167-CKT-1-Thionine-1-18-16-16-13.png	170-CKT-1-AB1-42-1-18-16_16-07.png	172-CKT-1-Iba1-1-18-16-16-07.png	173-CKT-1-GFAP-1-18-16-16-07.png	176-CKT-1-NeuN-1-18-16_16-14.png	179-CKT-1-Thionine-1-18-16-16-14.png	188-CKT-1-NeuN-1-18-16_16-15.png	191-CKT-1-Thionine-1-18-16-16-15.png	194-CKT-1-AB1-42-1-18-16_16-08.png	196-CKT-1-Iba1-1-18-16-16-08.png	197-CKT-1-GFAP-1-18-16-16-08.png	200-CKT-1-NeuN-1-18-16_16-16.png	203-CKT-1-Thionine-1-18-16-16-16.png	212-CKT-1-NeuN-1-18-16_16-17.png	215-CKT-1-Thionine-1-18-16-16-17.png	218-CKT-1-AB1-42-1-18-16_16-09.png	220-CKT-1-Iba1-1-18-16-16-09.png	221-CKT-1-GFAP-1-18-16-16-09.png	224-CKT-1-NeuN-1-18-16_16-18.png	227-CKT-1-Thionine-1-18-16-16-18.png
	Total	N/A	119804	433	604	796	842	1068	1147	1072	1047	1228	1393	1440	1650	1764	1680	1851	1976	2173	1984	2243	2155	2113	1989	2175	2356	2205	2489	2411	2214	2255	2464	2449	2449	2476	2621	2331	2528	2594	2744	2553	2533	2377	2390	2286	2576	2627	2390	2596	2381	2389	2305	1925	2206	2063	1965	1982	2158	1709	1681	1844	1459
	Total	Accurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Total	Inaccurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Total	Uncertain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Total	Damaged	4792	63	26	44	9	52	1	8	60	4	17	0	0	0	0	11	0	0	5	45	29	60	184	51	82	83	49	80	151	130	112	191	127	156	179	153	175	156	220	147	146	107	101	144	64	61	40	92	94	95	139	166	140	173	75	109	110	6	15	26	29
0	Clear Label	N/A	24706	76	166	171	149	231	231	198	218	260	330	304	331	323	292	287	364	414	327	383	335	299	275	314	449	382	432	365	361	320	390	414	445	512	445	312	381	420	491	418	523	408	394	416	524	657	479	577	510	564	493	429	579	636	617	651	709	628	684	881	532
0	Clear Label	Accurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	Inaccurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	Uncertain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Clear Label	Damaged	144	2	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	5	7	3	3	6	0	1	7	0	6	0	2	1	0	3	1	0	0	3	3	2	5	3	2	3	3	3	0	5	1	33	7	4	1	1	2	0	3	3	2
997	root	N/A	0																																																												
997	root	Accurate	0																																																												
997	root	Inaccurate	0																																																												
997	root	Uncertain	0																																																												
997	root	Damaged	0																																																												
8	Basic cell groups and regions	N/A	0																																																												
8	Basic cell groups and regions	Accurate	0																																																												
